experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,3,90,-216.43871474266052,-190.2577154636383,2.4048746082517836,2.6180999279022217,2.2712032794952393,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,4,90,-202.21424269676208,-177.45996403694153,2.246824918852912,2.4754278659820557,2.1229751110076904,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,0,90,-218.46496534347534,-192.89277267456055,2.4273885038163927,2.5572192668914795,2.2637875080108643,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,1,90,-201.35006427764893,-177.0922350883484,2.2372229364183216,2.4257829189300537,2.1171886920928955,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,2,90,-219.21005702018738,-193.9631006717682,2.435667300224304,2.524695634841919,2.3470420837402344,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,3,90,-183.56081330776215,-161.05505549907684,2.0395645923084684,2.2505757808685303,1.8985873460769653,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,4,90,-209.306720495224,-184.835764169693,2.325630227724711,2.4470956325531006,2.1708176136016846,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,507000,7000,0,90,-185.82593762874603,-162.78936231136322,2.0647326403194004,2.3036575317382812,1.9168630838394165,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,507000,7000,1,90,-198.0955686569214,-172.9541745185852,2.2010618739657932,2.514139413833618,2.0503673553466797,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,507000,7000,2,90,-209.16088008880615,-182.88657093048096,2.3240097787645126,2.6274309158325195,2.1268835067749023,0.0
