experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",2000,true_return,-219.82869092623392,-226.86742496490479,-212.15912079811096,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",3000,true_return,-216.0914097627004,-219.10801196098328,-212.21924114227295,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",4000,true_return,-266.96188755830127,-271.641237616539,-262.1432662010193,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",5000,true_return,-316.2813692887624,-318.36659264564514,-313.43486404418945,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",6000,true_return,-260.7328100204468,-273.1384108066559,-254.0468807220459,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",7000,true_return,-251.665354291598,-266.22158455848694,-241.26832616329193,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",8000,true_return,-269.48997616767883,-275.14745593070984,-262.79082322120667,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",9000,true_return,-327.4556284745534,-337.5252673625946,-319.17647337913513,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",10000,true_return,-308.65965700149536,-311.0520851612091,-306.40133810043335,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",1000,true_return,-224.40586948394775,-230.0509648323059,-221.51072072982788,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",2000,true_return,-188.80434171358743,-193.2749924659729,-182.24167156219482,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",3000,true_return,-235.11027805010477,-239.46327471733093,-228.9643313884735,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",4000,true_return,-288.86279388268787,-295.2322573661804,-282.26796996593475,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",5000,true_return,-253.9711852868398,-259.3995716571808,-246.59050750732422,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",6000,true_return,-255.2972802321116,-265.5437695980072,-247.5546350479126,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",7000,true_return,-272.05472898483276,-281.7368242740631,-265.2761631011963,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",8000,true_return,-209.35300286610922,-211.06838274002075,-207.72432386875153,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",9000,true_return,-305.11204040050507,-327.71492528915405,-281.5593719482422,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",10000,true_return,-226.56857736905417,-235.0717694759369,-218.60071659088135,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",1000,true_return,-216.53712582588196,-223.43295454978943,-211.78450465202332,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",2000,true_return,-252.7846683661143,-265.2328541278839,-241.9852991104126,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",3000,true_return,-166.6477079987526,-168.73762691020966,-163.96974384784698,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",4000,true_return,-154.39915929238,-159.76094615459442,-144.28671860694885,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",5000,true_return,-202.33941785494486,-205.94008207321167,-197.54142999649048,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",6000,true_return,-241.04066729545593,-251.81181573867798,-227.65104126930237,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",7000,true_return,-230.1034553448359,-232.08245706558228,-226.60015738010406,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",8000,true_return,-168.122811516126,-177.7970689535141,-161.43607932329178,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",9000,true_return,-181.83114230632782,-194.4251368045807,-171.47086095809937,5
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",10000,true_return,-153.06349420547485,-158.65158474445343,-149.54824525117874,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",1000,true_return,-194.5325607061386,-202.21294260025024,-188.9925810098648,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",2000,true_return,-282.76890540122986,-304.09547114372253,-254.18332719802856,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",3000,true_return,-277.4050243695577,-305.8317542076111,-260.5731039047241,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",4000,true_return,-423.72386968135834,-431.79704773426056,-419.30156564712524,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",5000,true_return,-305.2998723189036,-353.8314301967621,-268.79034900665283,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",6000,true_return,-185.32592089722553,-186.65061758458614,-183.7670130059123,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",7000,true_return,-186.07568304861584,-188.74780064076185,-182.43075662478805,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",8000,true_return,-152.69344351192316,-160.84709306061268,-140.1077906191349,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",9000,true_return,-166.81450218893588,-172.70713786780834,-157.6187152247876,5
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",10000,true_return,-181.62567204112807,-185.1811993457377,-177.3741237744689,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",1000,true_return,-89.9674044450124,-93.32807284593582,-83.77158135175705,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",2000,true_return,-132.5564582745234,-138.77213883399963,-128.5358021259308,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",3000,true_return,-158.28979210058847,-165.65510833263397,-153.78809535503387,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",4000,true_return,-169.30772531032562,-172.11595034599304,-165.8746600151062,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",5000,true_return,-141.81246929367384,-149.9423616528511,-130.8454391658306,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",6000,true_return,-189.40358316898346,-196.95289063453674,-178.02460038661957,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",7000,true_return,-159.48857415715852,-176.03229582309723,-140.31128761172295,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",8000,true_return,-93.15506236255169,-99.30985045433044,-87.5773978382349,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",9000,true_return,-77.71468190352122,-85.49786779284477,-69.88268610835075,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",10000,true_return,-63.628512144088745,-68.18660083413124,-58.167306780815125,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",1000,true_return,-167.8356286684672,-175.07814836502075,-158.45793986320496,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",2000,true_return,-181.38919925689697,-190.42049944400787,-172.51451110839844,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",3000,true_return,-202.7764449516932,-206.81823337078094,-196.50190436840057,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",4000,true_return,-89.27708319822948,-91.71253508329391,-86.56754365563393,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",5000,true_return,-136.38619105021158,-138.37133657932281,-132.67035925388336,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",6000,true_return,-119.63936338822047,-127.00937211513519,-112.13950151205063,5
