experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,511000,1000,3,90,-186.86186528205872,-166.5935776233673,2.07624294757843,2.0268287658691406,1.9815236330032349,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,511000,1000,4,90,-159.5520738363266,-142.96143686771393,1.772800820403629,1.659063696861267,1.659063696861267,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,512000,2000,0,90,-202.0164942741394,-178.35756301879883,2.2446277141571045,2.3658931255340576,2.1224334239959717,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,512000,2000,1,90,-209.92372298240662,-185.63846611976624,2.332485810915629,2.428525686264038,2.176858901977539,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,512000,2000,2,90,-203.38398504257202,-179.94820404052734,2.259822056028578,2.3435781002044678,2.1707539558410645,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,512000,2000,3,90,-190.8663353919983,-168.7281093597412,2.120737059911092,2.213822603225708,2.0034539699554443,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,512000,2000,4,90,-211.8882439136505,-187.09291911125183,2.3543138212627834,2.479532480239868,2.2269062995910645,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,513000,3000,0,90,-207.54360389709473,-184.58370876312256,2.3060400433010524,2.295989513397217,2.247772693634033,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,513000,3000,1,90,-192.18446898460388,-170.59588360786438,2.135382988717821,2.15885853767395,2.0652289390563965,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,513000,3000,2,90,-195.7040741443634,-173.98909831047058,2.174489712715149,2.1714975833892822,2.1463356018066406,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,513000,3000,3,90,-195.82455205917358,-174.33231163024902,2.1758283562130396,2.149224042892456,2.1433370113372803,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,513000,3000,4,90,-179.9030957221985,-159.49321126937866,1.9989232858022055,2.0409884452819824,1.9408568143844604,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,514000,4000,0,90,-195.77900171279907,-174.250648021698,2.175322241253323,2.1528353691101074,2.1216237545013428,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,514000,4000,1,90,-184.11132860183716,-164.87640070915222,2.045681428909302,1.9234927892684937,1.923326015472412,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,514000,4000,2,90,-185.70015573501587,-165.3530993461609,2.0633350637223984,2.034705638885498,2.0226380825042725,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,514000,4000,3,90,-192.73558688163757,-171.8435366153717,2.1415065209070843,2.089205026626587,2.081728219985962,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,514000,4000,4,90,-190.57232928276062,-170.3617103099823,2.117470325364007,2.021061897277832,2.018899440765381,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,515000,5000,0,90,-200.76443886756897,-176.5697786808014,2.230715987417433,2.419466018676758,1.9892548322677612,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,515000,5000,1,90,-220.1550257205963,-194.0037477016449,2.4461669524510703,2.6151278018951416,2.231602907180786,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,515000,5000,2,90,-202.216787815094,-178.2897047996521,2.2468531979454887,2.3927083015441895,2.035660982131958,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,515000,5000,3,90,-187.69557523727417,-165.21046447753906,2.0855063915252687,2.2485110759735107,1.9327704906463623,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,515000,5000,4,90,-193.83954000473022,-171.80870008468628,2.1537726667192247,2.2030839920043945,2.108738899230957,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,516000,6000,0,90,-210.50962948799133,-182.1170094013214,2.3389958831999036,2.839262008666992,2.1162121295928955,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,516000,6000,1,90,-206.87013292312622,-180.52634859085083,2.2985570324791804,2.634378433227539,2.148531913757324,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,516000,6000,2,90,-217.94501066207886,-185.80618381500244,2.421611229578654,3.2138826847076416,2.0107998847961426,0.0
