experiment,variant,variant_label,delay_label,x_value,act_min,act_max,obs_min,obs_max,seed,episode,episode_steps,episode_return,mean_distance,final_distance,min_distance,success,ever_success
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,0,80,-27.852110957494006,0.3481513869686751,0.019022636115550995,0.002037261612713337,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,1,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,2,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,3,80,-29.937394960783422,0.37421743700979276,0.006492895074188709,0.004885948728770018,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,4,80,-27.61869830172509,0.3452337287715636,0.008134422823786736,0.0005900743417441845,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,5,80,-24.43429525848478,0.30542869073105977,0.011832799762487411,0.004535895772278309,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,6,80,-24.015672652749345,0.3001959081593668,0.016725927591323853,0.0035969095770269632,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,7,80,-23.559617097256705,0.2944952137157088,0.018285058438777924,0.002693176968023181,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,8,80,-23.18128062260803,0.28976600778260037,0.022629816085100174,0.0012116130674257874,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,9,80,-25.375223993789405,0.3171902999223676,0.013934754766523838,0.004763671662658453,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,10,80,-26.633679590304382,0.3329209948788048,0.01692766323685646,0.001193998963572085,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,11,80,-29.538707049679942,0.3692338381209993,0.01845977082848549,0.0011356048053130507,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,12,80,-27.584228809457272,0.3448028601182159,0.01398422196507454,0.0028321724385023117,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,13,80,-23.918835748219863,0.2989854468527483,0.00245047640055418,0.002144569531083107,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,14,80,-20.256711377762258,0.25320889222202825,0.0058851465582847595,0.004761438351124525,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,15,80,-21.24234888749197,0.26552936109364966,0.0044705611653625965,0.0012709470465779305,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,16,80,-28.981414927751757,0.36226768659689695,0.012224148027598858,0.0011869053123518825,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,17,80,-24.97455288140918,0.3121819110176148,0.02174460142850876,0.00040441795135848224,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,18,80,-25.312567913206294,0.3164070989150787,0.01807727850973606,0.0035593530628830194,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,19,80,-25.015677372459322,0.31269596715574155,0.005205227993428707,0.0018970409873872995,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,0,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,1,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
