condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,iteration,train_steps,episode,kp,correction_scale,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,0,0.7592573860315994,0.2384058440442351,80,-36.15355084137991,-36.15355084137991,0.45191938551724886,0.004994887392967939,0.004994887392967939,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,1,0.7592573860315994,0.2384058440442351,80,-33.38231652230024,-33.38231652230024,0.417278956528753,0.012511222623288631,0.012511222623288631,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,2,0.7592573860315994,0.2384058440442351,80,-36.06155969854444,-36.06155969854444,0.4507694962318055,0.02147352695465088,0.013196563348174095,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,3,0.7592573860315994,0.2384058440442351,80,-32.49001277144998,-32.49001277144998,0.4061251596431248,0.002575111109763384,0.002575111109763384,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,4,0.7592573860315994,0.2384058440442351,80,-28.535139459185302,-28.535139459185302,0.35668924323981627,0.017040982842445374,0.011022830381989479,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,5,0.7592573860315994,0.2384058440442351,80,-31.862686849664897,-31.862686849664897,0.39828358562081123,0.018762925639748573,0.005888683255761862,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,6,0.7592573860315994,0.2384058440442351,80,-30.681514654308558,-30.681514654308558,0.383518933178857,0.020704859867691994,0.004008616786450148,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,900000,0,0,7,0.7592573860315994,0.2384058440442351,80,-35.107249496504664,-35.107249496504664,0.4388406187063083,0.024047790095210075,0.018330814316868782,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,0,2.5750878881074355,0.6334797682779069,80,-21.66409860807471,-21.66409860807471,0.27080123260093386,0.015314037911593914,0.0028632439207285643,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,1,2.5750878881074355,0.6334797682779069,80,-20.13060191576369,-20.13060191576369,0.25163252394704616,0.02334023267030716,0.0017183248419314623,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,2,2.5750878881074355,0.6334797682779069,80,-19.43537834053859,-19.43537834053859,0.2429422292567324,0.005919566843658686,0.003644076641649008,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,3,2.5750878881074355,0.6334797682779069,80,-22.655662899720483,-22.655662899720483,0.28319578624650604,0.010742615908384323,0.0011045588180422783,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,4,2.5750878881074355,0.6334797682779069,80,-27.309351672418416,-27.309351672418416,0.34136689590523017,0.010704493150115013,0.0007052458822727203,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,5,2.5750878881074355,0.6334797682779069,80,-19.01357175956946,-19.01357175956946,0.23766964699461823,0.015825169160962105,0.0010165214771404862,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,6,2.5750878881074355,0.6334797682779069,80,-28.275539193477016,-28.275539193477016,0.3534442399184627,0.013124867342412472,0.0005942832794971764,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,901000,1,2880,7,2.5750878881074355,0.6334797682779069,80,-21.588502713828348,-21.588502713828348,0.2698562839228543,0.0035777748562395573,0.001910309656523168,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,0,1.7133920352483294,0.328123851679704,80,-24.481751656276174,-24.481751656276174,0.3060218957034522,0.014911758713424206,0.001726651913486421,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,1,1.7133920352483294,0.328123851679704,80,-22.565080986358225,-22.565080986358225,0.2820635123294778,0.025807637721300125,0.002527170581743121,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,2,1.7133920352483294,0.328123851679704,80,-24.536033890442923,-24.536033890442923,0.3067004236305365,0.0023839683271944523,0.0023839683271944523,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,3,1.7133920352483294,0.328123851679704,80,-23.518293120898306,-23.518293120898306,0.29397866401122885,0.004684289451688528,0.004684289451688528,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,4,1.7133920352483294,0.328123851679704,80,-22.713844067649916,-22.713844067649916,0.28392305084562397,0.0027154115960001945,0.0025344439782202244,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,5,1.7133920352483294,0.328123851679704,80,-24.43876509880647,-24.43876509880647,0.30548456373508087,0.006642877124249935,0.0013616187497973442,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,6,1.7133920352483294,0.328123851679704,80,-22.08468247950077,-22.08468247950077,0.27605853099375965,0.013250897638499737,0.00391205633059144,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,902000,2,5760,7,1.7133920352483294,0.328123851679704,80,-20.689399193273857,-20.689399193273857,0.2586174899159232,0.014899100176990032,0.0009447121992707253,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,903000,3,8640,0,1.7133920352483294,0.328123851679704,80,-21.655057357624173,-21.655057357624173,0.27068821697030215,0.005481325555592775,0.005481325555592775,1.0
stochastic_0_0,"(0-0,0-0)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0,0,0,0,903000,3,8640,1,1.7133920352483294,0.328123851679704,80,-24.016358675668016,-24.016358675668016,0.3002044834458502,0.019869523122906685,0.0026668079663068056,1.0
