experiment,variant,variant_label,delay_label,x_value,act_min,act_max,obs_min,obs_max,seed,episode,episode_steps,episode_return,mean_distance,final_distance,min_distance,success,ever_success
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,2,80,-20.401934865047224,0.2550241858130903,0.014887120574712753,0.001403933740220964,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,3,80,-24.643380064400844,0.3080422508050106,0.0017815183382481337,0.0008348667761310935,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,4,80,-22.61843111901544,0.282730388987693,0.004910480231046677,0.001269541447982192,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,5,80,-19.667912787248497,0.2458489098406062,0.006108379922807217,0.00021492871746886522,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,6,80,-19.48135449970141,0.24351693124626764,0.01674327254295349,0.002281782915815711,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,7,80,-19.050674572587013,0.23813343215733768,0.010873651131987572,0.002897180849686265,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,8,80,-18.911931247916073,0.2363991405989509,0.018023846670985222,0.00259710056707263,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,9,80,-20.718461647978984,0.2589807705997373,0.007616514340043068,0.0014284393982961774,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,10,80,-21.627953108400106,0.27034941385500133,0.013611036352813244,0.0004286800976842642,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,11,80,-24.59678291657474,0.30745978645718425,0.015834709629416466,0.0017110261833295226,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,12,80,-22.881379126221873,0.28601723907777343,0.010881064459681511,0.0011702042538672686,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,13,80,-19.467613415035885,0.24334516768794856,0.01089484989643097,0.0005523126455955207,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,14,80,-16.0973905173596,0.201217381466995,0.0012914544204249978,0.0012914544204249978,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,15,80,-17.04032599972561,0.21300407499657012,0.006981945596635342,0.002701019635424018,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,16,80,-24.074082616600208,0.3009260327075026,0.013286680914461613,0.0011629679938778281,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,17,80,-20.209524783771485,0.25261905979714355,0.016017260029911995,0.0011406989069655538,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,18,80,-20.57303035800578,0.25716287947507227,0.009184354916214943,0.0007316551054827869,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,19,80,-20.61350546043832,0.257668818255479,0.005500933155417442,0.0014202456222847104,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,0,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,1,80,-20.401934865047224,0.2550241858130903,0.014887120574712753,0.001403933740220964,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,2,80,-24.643380064400844,0.3080422508050106,0.0017815183382481337,0.0008348667761310935,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,3,80,-22.61843111901544,0.282730388987693,0.004910480231046677,0.001269541447982192,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,4,80,-19.667912787248497,0.2458489098406062,0.006108379922807217,0.00021492871746886522,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,5,80,-19.48135449970141,0.24351693124626764,0.01674327254295349,0.002281782915815711,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,6,80,-19.050674572587013,0.23813343215733768,0.010873651131987572,0.002897180849686265,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,7,80,-18.911931247916073,0.2363991405989509,0.018023846670985222,0.00259710056707263,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,8,80,-20.718461647978984,0.2589807705997373,0.007616514340043068,0.0014284393982961774,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,9,80,-21.627953108400106,0.27034941385500133,0.013611036352813244,0.0004286800976842642,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,10,80,-24.59678291657474,0.30745978645718425,0.015834709629416466,0.0017110261833295226,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,11,80,-22.881379126221873,0.28601723907777343,0.010881064459681511,0.0011702042538672686,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,12,80,-19.467613415035885,0.24334516768794856,0.01089484989643097,0.0005523126455955207,1.0,1.0
