condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,iteration,train_steps,episode,kp,correction_scale,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,0,0.7592573860315994,0.2384058440442351,90,-75.71669252961874,-73.9008625075221,0.8412965836624304,0.1815830022096634,0.030696731060743332,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,1,0.7592573860315994,0.2384058440442351,90,-72.67909209895879,-70.41066597867757,0.8075454677662088,0.22684261202812195,0.015338202007114887,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,2,0.7592573860315994,0.2384058440442351,90,-76.96523936092854,-75.20290599763393,0.8551693262325393,0.17623333632946014,0.129582479596138,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,3,0.7592573860315994,0.2384058440442351,90,-68.883814541623,-66.64140838198364,0.7653757171291444,0.22424061596393585,0.022677289322018623,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,4,0.7592573860315994,0.2384058440442351,90,-63.75485413707793,-61.35897465981543,0.7083872681897547,0.2395879477262497,0.0181103628128767,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,5,0.7592573860315994,0.2384058440442351,90,-67.42406770773232,-65.42919665761292,0.7491563078636925,0.19948710501194,0.019951848313212395,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,6,0.7592573860315994,0.2384058440442351,90,-68.64894045889378,-66.53154565393925,0.7627660050988198,0.21173948049545288,0.03526994585990906,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,7,0.7592573860315994,0.2384058440442351,90,-73.21463936567307,-71.3320996761322,0.813495992951923,0.1882539689540863,0.04802585393190384,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,901000,1,2880,0,1.1669460799584617,0.6883550183594864,90,-51.69258187711239,-51.22437424212694,0.5743620208568043,0.04682076349854469,0.009107056073844433,1.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,901000,1,2880,1,1.1669460799584617,0.6883550183594864,90,-49.58935837075114,-49.012179140001535,0.5509928707861238,0.05771792307496071,0.05185232311487198,1.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,901000,1,2880,2,1.1669460799584617,0.6883550183594864,90,-48.46030656155199,-47.62082252558321,0.538447850683911,0.08394840359687805,0.01104752253741026,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,901000,1,2880,3,1.1669460799584617,0.6883550183594864,90,-52.88018429582007,-52.182864415692165,0.5875576032868897,0.06973198801279068,0.0037465200293809175,0.0
