condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,iteration,train_steps,episode,kp,correction_scale,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,0,0.7592573860315994,0.2384058440442351,90,-75.71669252961874,-73.9008625075221,0.8412965836624304,0.1815830022096634,0.030696731060743332,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,900000,0,0,1,0.7592573860315994,0.2384058440442351,90,-72.67909209895879,-70.41066597867757,0.8075454677662088,0.22684261202812195,0.015338202007114887,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,901000,1,320,0,2.5750878881074355,0.6334797682779069,90,-60.94476296752691,-59.96470845490694,0.6771640329725213,0.09800545126199722,0.03236154466867447,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,901000,1,320,1,2.5750878881074355,0.6334797682779069,90,-59.315164767205715,-58.422208957374096,0.6590573863022857,0.08929558098316193,0.08929558098316193,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,902000,2,640,0,0.6194435648624002,0.4869824115028195,90,-58.1338133700192,-57.42335461452603,0.6459312596668799,0.0710458755493164,0.05202418193221092,0.0
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,902000,2,640,1,0.6194435648624002,0.4869824115028195,90,-55.44686278467998,-54.65741714602336,0.6160762531631109,0.07894456386566162,0.006457777228206396,0.0
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,900000,0,0,0,0.7592573860315994,0.2384058440442351,90,-75.71669252961874,-73.9008625075221,0.8412965836624304,0.1815830022096634,0.030696731060743332,0.0
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,900000,0,0,1,0.7592573860315994,0.2384058440442351,90,-72.67909209895879,-70.41066597867757,0.8075454677662088,0.22684261202812195,0.015338202007114887,0.0
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,901000,1,320,0,2.5750878881074355,0.6334797682779069,90,-60.94476296752691,-59.96470845490694,0.6771640329725213,0.09800545126199722,0.03236154466867447,0.0
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,901000,1,320,1,2.5750878881074355,0.6334797682779069,90,-59.315164767205715,-58.422208957374096,0.6590573863022857,0.08929558098316193,0.08929558098316193,0.0
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,902000,2,640,0,0.6194435648624002,0.4869824115028195,90,-58.1338133700192,-57.42335461452603,0.6459312596668799,0.0710458755493164,0.05202418193221092,0.0
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,902000,2,640,1,0.6194435648624002,0.4869824115028195,90,-55.44686278467998,-54.65741714602336,0.6160762531631109,0.07894456386566162,0.006457777228206396,0.0
