condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",0,mean_distance,0.8244210257143196,0.8159832467402642,0.832858804688375,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",320,mean_distance,0.6681107096374035,0.6635840479698446,0.6726373713049624,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",640,mean_distance,0.6310037564149954,0.6235400047890531,0.6384675080409377,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",0,mean_distance,0.8244210257143196,0.8159832467402642,0.832858804688375,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",320,mean_distance,0.6681107096374035,0.6635840479698446,0.6726373713049624,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",640,mean_distance,0.6310037564149954,0.6235400047890531,0.6384675080409377,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",0,mean_distance,1.0264146295272643,1.022771613030798,1.0300576460237305,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",320,mean_distance,0.7762275650062495,0.7651069842796359,0.787348145732863,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",640,mean_distance,0.7847841152300438,0.7745513424484267,0.7950168880116608,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",0,mean_distance,1.3267045332412972,1.309642802806277,1.3437662636763172,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",320,mean_distance,0.863741445845287,0.8518468705398079,0.8756360211507662,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",640,mean_distance,0.8766944723693948,0.8654133574350884,0.8879755873037012,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",0,mean_distance,1.7508127884007991,1.7313078942801803,1.7703176825214177,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",320,mean_distance,1.013609708119184,0.9995742717664688,1.0276451444718988,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",640,mean_distance,0.9732907817699015,0.9618651076126844,0.9847164559271187,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",0,mean_distance,1.7508127884007991,1.7313078942801803,1.7703176825214177,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",320,mean_distance,1.013609708119184,0.9995742717664688,1.0276451444718988,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",640,mean_distance,0.9732907817699015,0.9618651076126844,0.9847164559271187,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",0,mean_distance,2.280943421088159,2.2792559053562584,2.28263093682006,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",320,mean_distance,1.3671065370552242,1.3490509298723192,1.3851621442381292,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",640,mean_distance,1.049040963537991,1.0371033200062811,1.060978607069701,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",0,mean_distance,0.39217556766590356,0.3814068813548349,0.40294425397697214,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",320,mean_distance,0.26198374412843184,0.26005068281394106,0.26391680544292256,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",640,mean_distance,0.28064653507855075,0.27561697722151995,0.2856760929355816,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",0,mean_distance,0.38423171829036823,0.3738250966484984,0.39463833993223807,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",320,mean_distance,0.2516390537001619,0.2490209415578878,0.2542571658424359,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",640,mean_distance,0.2761691885379387,0.27108100449299505,0.2812573725828823,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",0,mean_distance,0.36675007135867255,0.35660404493180425,0.3768960977855408,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",320,mean_distance,0.27320438178775913,0.26920868294739736,0.2772000806281209,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",640,mean_distance,0.2737264602518001,0.26915870088780947,0.2782942196157907,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",0,mean_distance,0.3781693863390426,0.3708317220252353,0.38550705065285,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",320,mean_distance,0.32715870089727167,0.3153340696379617,0.33898333215658166,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",640,mean_distance,0.2911663311211308,0.28534453496834183,0.29698812727391977,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",0,mean_distance,0.34831580781712224,0.3408164773874068,0.35581513824683764,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",320,mean_distance,0.2475690260515407,0.24022387469868234,0.2549141774043991,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",640,mean_distance,0.28511236592832806,0.28091441039432113,0.289310321462335,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",0,mean_distance,0.3247346454550291,0.31736410932726855,0.3321051815827897,2
