metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,4.3093,3.0792,5.5786,3020
remote_ee,2,off,6.0394,3.5144,8.7518,2960
remote_ee,3,off,8.4823,5.1793,12.0488,2900
remote_ee,4,off,10.1117,5.2223,15.0390,2840
remote_ee,5,off,11.9440,6.4144,17.8875,2780
remote_ee,6,off,13.3063,6.5669,20.6729,2720
remote_ee,7,off,14.7206,7.6373,23.3614,2660
remote_ee,8,off,15.8419,7.8681,25.3939,2600
remote_ee,9,off,17.0441,8.7909,27.5491,2540
remote_ee,10,off,18.0772,8.9421,29.5643,2480
remote_ee,11,off,19.1605,9.7284,31.7441,2420
remote_ee,12,off,20.0485,9.7072,33.5153,2360
remote_ee,13,off,20.9756,10.2941,35.1274,2300
remote_ee,14,off,21.7470,10.4822,36.5711,2240
remote_ee,15,off,22.5176,11.1043,37.5472,2180
remote_ee,16,off,23.1254,11.3509,39.0836,2120
remote_ee,17,off,23.7318,11.7710,40.2411,2060
remote_ee,18,off,24.1850,12.1341,41.2537,2000
remote_ee,19,off,24.5502,12.1917,41.9683,1940
remote_ee,20,off,24.7604,12.5482,42.4136,1880
remote_ee,21,off,24.8832,12.6511,42.7124,1820
remote_ee,22,off,24.9299,13.2839,42.4479,1760
remote_ee,23,off,24.8933,13.3765,42.5197,1700
remote_ee,24,off,24.7861,13.5054,41.8950,1640
remote_ee,1,on,4.3639,3.0888,5.7095,3020
remote_ee,2,on,19.5515,5.7719,68.7233,2960
remote_ee,3,on,6.1610,4.1128,9.0439,2900
remote_ee,4,on,5.8088,4.0269,8.2347,2840
remote_ee,5,on,5.0811,3.6736,6.6981,2780
remote_ee,6,on,5.1600,3.7513,6.7946,2720
remote_ee,7,on,4.8196,3.5735,6.1501,2660
remote_ee,8,on,4.9975,3.6576,6.3403,2600
remote_ee,9,on,4.7057,3.4868,5.9874,2540
remote_ee,10,on,4.8333,3.5799,6.1131,2480
remote_ee,11,on,4.6332,3.4552,5.8579,2420
remote_ee,12,on,4.8449,3.6291,6.0406,2360
remote_ee,13,on,4.5935,3.4207,5.8337,2300
remote_ee,14,on,4.8033,3.5984,5.9622,2240
remote_ee,15,on,4.6990,3.5239,5.7773,2180
remote_ee,16,on,4.7839,3.6704,5.8336,2120
remote_ee,17,on,4.6619,3.5353,5.7258,2060
remote_ee,18,on,4.7875,3.6200,5.8585,2000
remote_ee,19,on,4.8044,3.7037,5.8984,1940
remote_ee,20,on,4.8498,3.7569,5.8517,1880
remote_ee,21,on,4.7838,3.6599,5.7383,1820
remote_ee,22,on,4.8536,3.7415,5.8251,1760
remote_ee,23,on,4.8127,3.7753,5.7814,1700
remote_ee,24,on,4.8493,3.8269,5.8339,1640
operator_ee,1,off,5.5386,3.8966,7.6944,3020
operator_ee,2,off,7.9817,5.6546,10.9213,2960
operator_ee,3,off,9.1504,6.4181,12.5684,2900
operator_ee,4,off,9.7603,6.8179,13.2743,2840
operator_ee,5,off,10.1334,7.0501,13.8466,2780
operator_ee,6,off,10.4112,7.2239,14.3296,2720
operator_ee,7,off,10.6440,7.2818,14.7218,2660
operator_ee,8,off,10.8640,7.5157,15.1398,2600
operator_ee,9,off,11.0762,7.5355,15.4711,2540
operator_ee,10,off,11.2906,7.6928,15.7519,2480
operator_ee,11,off,11.5052,7.7616,16.3051,2420
operator_ee,12,off,11.7298,7.8209,16.6342,2360
operator_ee,13,off,11.9251,7.9453,16.7910,2300
operator_ee,14,off,12.0911,8.0232,16.9810,2240
operator_ee,15,off,12.2207,8.0620,17.2487,2180
operator_ee,16,off,12.3752,8.2272,17.3956,2120
operator_ee,17,off,12.5296,8.2897,17.6379,2060
operator_ee,18,off,12.6721,8.4862,17.8322,2000
operator_ee,19,off,12.8063,8.5863,18.0334,1940
operator_ee,20,off,12.9520,8.6198,18.1671,1880
operator_ee,21,off,13.1252,8.8248,18.2733,1820
operator_ee,22,off,13.2881,9.0510,18.4105,1760
operator_ee,23,off,13.4233,9.1116,18.5613,1700
operator_ee,24,off,13.5333,9.3554,18.8267,1640
operator_ee,1,on,5.6530,3.9462,7.8474,3020
operator_ee,2,on,19.9034,6.9462,65.8366,2960
operator_ee,3,on,8.8362,5.3841,13.6322,2900
operator_ee,4,on,7.8438,4.8334,11.8224,2840
operator_ee,5,on,6.8183,4.5291,9.6652,2780
operator_ee,6,on,6.8543,4.3550,9.9273,2720
operator_ee,7,on,6.2701,4.1642,8.6504,2660
operator_ee,8,on,5.9677,3.8598,8.3160,2600
operator_ee,9,on,5.5744,3.7178,7.6672,2540
operator_ee,10,on,5.3422,3.4811,7.2797,2480
operator_ee,11,on,5.1418,3.2703,7.1557,2420
operator_ee,12,on,5.0380,3.2139,6.9972,2360
operator_ee,13,on,4.8546,3.0738,6.7134,2300
operator_ee,14,on,4.7492,3.0403,6.5373,2240
operator_ee,15,on,4.5815,2.9167,6.3407,2180
operator_ee,16,on,4.3644,2.7467,6.1242,2120
operator_ee,17,on,4.1852,2.6387,5.8979,2060
operator_ee,18,on,4.1879,2.5811,5.8995,2000
operator_ee,19,on,4.1800,2.5728,5.8989,1940
operator_ee,20,on,4.0126,2.4333,5.7837,1880
operator_ee,21,on,3.9639,2.4309,5.6564,1820
operator_ee,22,on,3.8825,2.3257,5.6006,1760
operator_ee,23,on,3.7653,2.1592,5.4709,1700
operator_ee,24,on,3.6102,2.0422,5.2621,1640
track,1,off,4.3087,1.9496,7.2816,3020
track,2,off,6.3917,2.8816,11.1683,2960
track,3,off,7.6258,3.2966,13.2390,2900
track,4,off,8.4224,3.5818,15.0977,2840
track,5,off,9.1353,3.8666,16.5964,2780
track,6,off,9.7706,4.1199,17.9158,2720
track,7,off,10.4370,4.4240,18.9583,2660
track,8,off,11.0268,4.4812,20.5279,2600
track,9,off,11.5912,4.4953,22.0416,2540
track,10,off,12.0997,4.4284,23.8545,2480
track,11,off,12.6013,4.4748,25.2466,2420
track,12,off,13.0731,4.5819,26.4688,2360
track,13,off,13.5219,4.4516,28.1156,2300
track,14,off,13.9294,4.4961,29.3811,2240
track,15,off,14.3029,4.5298,30.6543,2180
track,16,off,14.6308,4.6262,31.7557,2120
track,17,off,14.9111,4.6413,32.4470,2060
track,18,off,15.1513,4.7792,33.2241,2000
track,19,off,15.3296,4.6845,34.0435,1940
track,20,off,15.4205,4.7205,33.8664,1880
track,21,off,15.4086,4.6880,33.6567,1820
track,22,off,15.3269,4.7905,34.2695,1760
track,23,off,15.1221,4.8396,33.5169,1700
track,24,off,14.8097,4.7835,32.7095,1640
track,1,on,4.2983,1.9233,7.2851,3020
track,2,on,19.2032,4.3903,77.1697,2960
track,3,on,6.4063,2.8355,11.6023,2900
track,4,on,5.6008,2.4900,9.5691,2840
track,5,on,4.6218,2.0611,7.8289,2780
track,6,on,4.5776,2.0141,7.8378,2720
track,7,on,4.0138,1.7982,6.7652,2660
track,8,on,4.0049,1.8374,6.7530,2600
track,9,on,3.7142,1.6569,6.1515,2540
track,10,on,3.4527,1.5740,5.7735,2480
track,11,on,3.3862,1.5547,5.6162,2420
track,12,on,3.2919,1.5522,5.5215,2360
track,13,on,3.2261,1.5152,5.3937,2300
track,14,on,3.2100,1.4828,5.2222,2240
track,15,on,3.0741,1.4415,5.1391,2180
track,16,on,3.0701,1.5093,5.0347,2120
track,17,on,3.0434,1.4208,4.9506,2060
track,18,on,3.1743,1.4857,5.0769,2000
track,19,on,3.0526,1.4736,4.9650,1940
track,20,on,2.9926,1.4742,4.7737,1880
track,21,on,2.8554,1.3048,4.7809,1820
track,22,on,2.9415,1.3822,4.7052,1760
track,23,on,2.6923,1.1906,4.5034,1700
track,24,on,2.7271,1.2298,4.4122,1640
full_l2,1,off,10.3626,7.9798,14.3761,3020
full_l2,2,off,15.3995,11.1008,21.4200,2960
full_l2,3,off,19.5929,14.0937,26.6054,2900
full_l2,4,off,23.1361,15.8821,31.6202,2840
full_l2,5,off,26.6866,18.0148,36.3810,2780
full_l2,6,off,30.0005,20.0210,41.8078,2720
full_l2,7,off,33.3128,22.2637,47.0724,2660
full_l2,8,off,36.5321,23.9075,52.4603,2600
full_l2,9,off,39.7032,25.7424,58.0179,2540
full_l2,10,off,42.8790,27.0790,64.4283,2480
full_l2,11,off,46.1303,28.8331,70.1661,2420
full_l2,12,off,49.3129,30.4081,75.1325,2360
full_l2,13,off,52.4300,32.3218,79.8961,2300
full_l2,14,off,55.4427,34.0693,84.8955,2240
full_l2,15,off,58.4379,35.8834,91.1252,2180
full_l2,16,off,61.3995,37.4526,98.0432,2120
full_l2,17,off,64.2366,39.1473,104.0187,2060
full_l2,18,off,66.8422,40.6729,109.6447,2000
full_l2,19,off,69.3057,41.9783,114.0476,1940
full_l2,20,off,71.6448,43.4110,119.8054,1880
full_l2,21,off,73.9553,44.6943,128.8250,1820
full_l2,22,off,76.2488,45.4427,137.4802,1760
full_l2,23,off,78.5417,47.1230,149.6251,1700
full_l2,24,off,80.7983,47.6048,153.7266,1640
full_l2,1,on,10.6036,8.0344,14.6836,3020
full_l2,2,on,107.5284,20.4459,390.5605,2960
full_l2,3,on,24.3775,14.2768,42.4664,2900
full_l2,4,on,22.5347,13.7094,38.0065,2840
full_l2,5,on,18.3228,12.3029,27.6652,2780
full_l2,6,on,18.0321,11.8993,26.8313,2720
full_l2,7,on,15.3485,10.7788,22.1438,2660
full_l2,8,on,16.0455,11.1429,23.2739,2600
full_l2,9,on,13.7926,9.9428,19.6041,2540
full_l2,10,on,14.4545,10.2786,20.2894,2480
full_l2,11,on,12.8399,9.5374,17.8882,2420
full_l2,12,on,13.5327,9.8628,18.6130,2360
full_l2,13,on,12.3573,9.1406,16.6845,2300
full_l2,14,on,12.4016,9.2907,16.9085,2240
full_l2,15,on,11.6594,8.9014,15.4992,2180
full_l2,16,on,11.8567,9.0760,15.6526,2120
full_l2,17,on,11.0741,8.5806,14.2473,2060
full_l2,18,on,11.2645,8.7400,14.6161,2000
full_l2,19,on,10.9564,8.6018,13.9041,1940
full_l2,20,on,10.9903,8.6058,14.1259,1880
full_l2,21,on,10.5627,8.3815,13.3342,1820
full_l2,22,on,10.6054,8.4071,13.4400,1760
full_l2,23,on,10.3080,8.2530,12.7558,1700
full_l2,24,on,10.3700,8.3844,12.8206,1640
