metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,4.5004,3.1654,5.9497,1006
remote_ee,2,off,6.6985,4.1742,9.7176,986
remote_ee,3,off,9.2196,5.5548,13.1714,966
remote_ee,4,off,11.0890,6.1114,15.9430,946
remote_ee,5,off,13.0323,7.2222,18.8257,926
remote_ee,6,off,14.6690,7.8755,21.6445,906
remote_ee,7,off,16.2903,8.9209,24.6550,886
remote_ee,8,off,17.6435,9.5082,26.7174,866
remote_ee,9,off,19.0577,10.0612,29.2371,846
remote_ee,10,off,20.2726,10.5337,31.4468,826
remote_ee,11,off,21.4823,11.4066,33.3645,806
remote_ee,12,off,22.5228,11.5527,35.7355,786
remote_ee,13,off,23.5298,12.1283,37.6141,766
remote_ee,14,off,24.4089,12.6857,39.8003,746
remote_ee,15,off,25.1890,13.0234,41.4417,726
remote_ee,16,off,25.8693,13.1139,41.9247,706
remote_ee,17,off,26.5275,13.6712,43.1009,686
remote_ee,18,off,27.0549,13.9757,43.3981,666
remote_ee,19,off,27.5094,13.9070,43.1510,646
remote_ee,20,off,27.7537,14.3706,44.0760,626
remote_ee,21,off,27.9584,14.0858,43.9278,606
remote_ee,22,off,28.0128,14.6525,43.4938,586
remote_ee,23,off,28.0113,14.7130,44.0767,566
remote_ee,24,off,27.8868,14.7737,43.0429,546
remote_ee,1,on,4.5224,3.1508,6.0635,1006
remote_ee,2,on,17.1197,5.8179,54.8241,986
remote_ee,3,on,6.3587,4.1159,9.0047,966
remote_ee,4,on,5.8909,3.9473,8.5117,946
remote_ee,5,on,5.1274,3.5890,6.7435,926
remote_ee,6,on,4.9996,3.4983,6.5666,906
remote_ee,7,on,4.7561,3.3232,6.2395,886
remote_ee,8,on,4.8102,3.4244,6.2366,866
remote_ee,9,on,4.7729,3.3288,6.2279,846
remote_ee,10,on,4.7047,3.4485,6.0470,826
remote_ee,11,on,4.6188,3.2889,6.0015,806
remote_ee,12,on,4.6750,3.2898,6.0419,786
remote_ee,13,on,4.6435,3.1662,6.1499,766
remote_ee,14,on,4.7278,3.2373,6.0894,746
remote_ee,15,on,4.6934,3.3155,5.8602,726
remote_ee,16,on,4.7085,3.4264,5.8953,706
remote_ee,17,on,4.7041,3.2945,5.9488,686
remote_ee,18,on,4.7424,3.4183,5.9783,666
remote_ee,19,on,4.7645,3.4115,6.0023,646
remote_ee,20,on,4.7497,3.4397,5.8854,626
remote_ee,21,on,4.7415,3.4027,5.8597,606
remote_ee,22,on,4.7131,3.4100,5.9489,586
remote_ee,23,on,4.7654,3.5871,5.8552,566
remote_ee,24,on,4.8094,3.6033,5.8922,546
operator_ee,1,off,5.9641,4.0054,8.2902,1006
operator_ee,2,off,8.3516,5.7397,11.6814,986
operator_ee,3,off,9.3696,6.2625,13.0176,966
operator_ee,4,off,9.7719,6.8359,13.3645,946
operator_ee,5,off,10.0719,7.0098,13.7056,926
operator_ee,6,off,10.3038,7.1764,14.1395,906
operator_ee,7,off,10.4832,7.1695,14.3686,886
operator_ee,8,off,10.6774,7.4028,14.7064,866
operator_ee,9,off,10.8768,7.3752,15.0998,846
operator_ee,10,off,11.0496,7.4308,15.4269,826
operator_ee,11,off,11.2212,7.4454,16.1844,806
operator_ee,12,off,11.4772,7.5355,16.6332,786
operator_ee,13,off,11.7263,7.7184,16.9936,766
operator_ee,14,off,11.9398,7.9401,17.0786,746
operator_ee,15,off,12.1290,8.0641,17.3561,726
operator_ee,16,off,12.3426,8.1833,17.4204,706
operator_ee,17,off,12.5420,8.4205,17.4943,686
operator_ee,18,off,12.7231,8.7762,17.6947,666
operator_ee,19,off,12.9057,8.9804,17.7895,646
operator_ee,20,off,13.0612,8.8842,17.9474,626
operator_ee,21,off,13.2305,8.9373,18.0393,606
operator_ee,22,off,13.3936,9.3495,18.3934,586
operator_ee,23,off,13.5242,9.2126,18.6586,566
operator_ee,24,off,13.6140,9.5056,18.7934,546
operator_ee,1,on,6.0030,4.0067,8.4141,1006
operator_ee,2,on,20.2819,7.2995,66.6425,986
operator_ee,3,on,9.7488,5.8643,14.7528,966
operator_ee,4,on,8.7165,5.5243,12.5131,946
operator_ee,5,on,7.3967,4.8910,10.5487,926
operator_ee,6,on,7.4902,4.6590,10.6382,906
operator_ee,7,on,6.6403,4.5501,9.0749,886
operator_ee,8,on,6.4817,4.3710,8.8108,866
operator_ee,9,on,6.4320,4.4469,8.6619,846
operator_ee,10,on,5.9242,3.9438,7.9152,826
operator_ee,11,on,5.6862,3.8289,7.5893,806
operator_ee,12,on,5.5323,3.7814,7.5562,786
operator_ee,13,on,5.5207,3.5795,7.5327,766
operator_ee,14,on,5.1192,3.4667,6.8610,746
operator_ee,15,on,4.9644,3.4028,6.6535,726
operator_ee,16,on,4.8861,3.3689,6.5579,706
operator_ee,17,on,4.6611,3.1056,6.4191,686
