metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,3.5483,2.5234,4.7057,1002
remote_ee,2,off,5.6517,4.1120,7.1863,982
remote_ee,3,off,6.7505,4.6546,8.9572,962
remote_ee,4,off,7.1572,4.8785,9.6538,942
remote_ee,5,off,7.0875,4.6839,9.6800,922
remote_ee,6,off,6.8828,4.3784,9.8898,902
remote_ee,7,off,7.3031,4.8235,10.0509,882
remote_ee,8,off,8.0641,5.3649,10.9015,862
remote_ee,1,on,3.6177,2.5735,4.8672,1002
remote_ee,2,on,10.2985,6.3376,15.6663,982
remote_ee,3,on,7.5687,4.9609,11.6060,962
remote_ee,4,on,7.7735,4.8536,11.5163,942
remote_ee,5,on,7.3661,4.9396,10.1035,922
remote_ee,6,on,7.9239,5.2465,11.8494,902
remote_ee,7,on,6.9808,4.8155,9.9433,882
remote_ee,8,on,6.0937,4.2654,8.2026,862
operator_ee,1,off,3.1960,2.1581,4.6665,1002
operator_ee,2,off,4.3834,2.8834,6.2926,982
operator_ee,3,off,4.9790,3.3233,7.1157,962
operator_ee,4,off,5.4738,3.8623,7.7402,942
operator_ee,5,off,6.0171,4.1690,8.3465,922
operator_ee,6,off,6.4748,4.4583,9.0423,902
operator_ee,7,off,6.8562,4.8019,9.6413,882
operator_ee,8,off,7.1725,5.0405,10.0505,862
operator_ee,1,on,3.2126,2.1664,4.6971,1002
operator_ee,2,on,11.5712,6.6102,18.9510,982
operator_ee,3,on,7.5507,4.9518,11.5490,962
operator_ee,4,on,8.7355,5.3008,13.1494,942
operator_ee,5,on,7.6885,4.7750,11.4581,922
operator_ee,6,on,6.7328,4.2957,10.2362,902
operator_ee,7,on,6.2573,4.0763,9.1409,882
operator_ee,8,on,5.5061,3.6162,7.7370,862
track,1,off,3.0585,1.4118,5.0008,1002
track,2,off,3.4402,1.6124,5.5589,982
track,3,off,3.4085,1.5884,5.4547,962
track,4,off,3.3757,1.5645,5.4375,942
track,5,off,3.3120,1.5554,5.4190,922
track,6,off,3.2495,1.5987,5.3618,902
track,7,off,3.2023,1.5052,5.2682,882
track,8,off,3.1455,1.4653,5.2043,862
track,1,on,3.0526,1.4603,4.9616,1002
track,2,on,14.5708,6.3437,25.5041,982
track,3,on,8.9636,3.6154,16.2734,962
track,4,on,10.3963,4.4156,18.0580,942
track,5,on,9.3505,4.0536,15.3917,922
track,6,on,8.0575,3.0217,15.4903,902
track,7,on,6.5200,2.6420,11.1859,882
track,8,on,5.0079,2.1851,9.1190,862
full_l2,1,off,7.3217,5.6361,10.1481,1002
full_l2,2,off,10.9926,8.4583,14.5863,982
full_l2,3,off,13.5725,10.1141,18.5671,962
full_l2,4,off,14.9586,11.4186,21.6538,942
full_l2,5,off,16.0255,12.0832,24.4956,922
full_l2,6,off,17.2135,13.1263,27.3103,902
full_l2,7,off,18.8390,14.7458,28.8252,882
full_l2,8,off,20.9187,16.7193,30.7104,862
full_l2,1,on,7.4354,5.6377,10.7772,1002
full_l2,2,on,21.6450,13.9855,30.8807,982
full_l2,3,on,16.3761,11.4359,23.4538,962
full_l2,4,on,17.4331,12.8041,23.8249,942
full_l2,5,on,15.9731,11.8594,22.2436,922
full_l2,6,on,16.2464,11.7754,22.1992,902
full_l2,7,on,14.5009,10.8825,19.5101,882
full_l2,8,on,12.8020,9.7487,16.5626,862
