metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,3.8960,2.7738,5.2054,1004
remote_ee,2,off,5.9853,4.5222,7.6545,984
remote_ee,3,off,7.2227,5.0571,9.4678,964
remote_ee,4,off,7.8584,5.3358,10.4273,944
remote_ee,5,off,8.1866,5.6022,11.3393,924
remote_ee,6,off,8.4689,5.3991,11.8723,904
remote_ee,7,off,8.9173,5.8911,12.4168,884
remote_ee,8,off,9.4203,6.5760,13.0299,864
remote_ee,1,on,3.9511,2.7962,5.3325,1004
remote_ee,2,on,9.4381,5.6034,14.5955,984
remote_ee,3,on,9.0436,5.7599,13.4175,964
remote_ee,4,on,8.4190,5.2739,12.3893,944
remote_ee,5,on,7.9256,5.2796,11.5161,924
remote_ee,6,on,8.4984,5.6516,12.1485,904
remote_ee,7,on,7.3842,5.1677,10.3567,884
remote_ee,8,on,6.6579,4.8040,9.1194,864
operator_ee,1,off,3.8500,2.4931,5.8674,1004
operator_ee,2,off,5.6116,3.6879,8.2117,984
operator_ee,3,off,6.6915,4.2051,9.3171,964
operator_ee,4,off,7.4454,4.7111,10.0069,944
operator_ee,5,off,8.0104,4.9930,10.7696,924
operator_ee,6,off,8.4554,5.3294,11.5225,904
operator_ee,7,off,8.9457,5.6685,12.2039,884
operator_ee,8,off,9.4786,6.1130,12.9007,864
operator_ee,1,on,3.9508,2.4958,6.0375,1004
operator_ee,2,on,8.9708,5.8350,13.1793,984
operator_ee,3,on,9.5843,5.8770,13.7471,964
operator_ee,4,on,8.7015,5.5266,12.7389,944
operator_ee,5,on,8.1582,4.8758,12.2240,924
operator_ee,6,on,7.6478,4.7106,11.5139,904
operator_ee,7,on,6.6343,4.4488,9.3011,884
operator_ee,8,on,6.1005,4.0244,8.7151,864
track,1,off,3.3654,1.4385,6.3436,1004
track,2,off,3.4971,1.4859,6.6767,984
track,3,off,3.3957,1.4426,6.2380,964
track,4,off,3.3216,1.4014,6.1103,944
track,5,off,3.2506,1.3459,5.8623,924
track,6,off,3.1694,1.3450,5.5997,904
track,7,off,3.1053,1.3310,5.2884,884
track,8,off,3.0672,1.2922,5.1681,864
track,1,on,3.3695,1.4472,6.2474,1004
track,2,on,11.9009,5.9703,20.6371,984
track,3,on,12.4120,5.9306,20.7609,964
track,4,on,10.6695,4.7850,18.9332,944
track,5,on,9.3861,3.7847,16.7410,924
track,6,on,9.5773,3.6570,16.9260,904
track,7,on,6.9245,3.0449,11.9896,884
track,8,on,5.8047,2.4378,10.2354,864
full_l2,1,off,8.8765,6.7131,12.7753,1004
full_l2,2,off,13.5190,10.4960,19.3701,984
full_l2,3,off,17.1906,13.2168,23.6669,964
full_l2,4,off,20.2197,15.1217,29.5926,944
full_l2,5,off,22.9637,16.9129,34.1582,924
full_l2,6,off,25.7055,18.9592,38.9335,904
full_l2,7,off,28.5464,21.0694,43.7902,884
full_l2,8,off,31.3605,23.5213,48.4722,864
full_l2,1,on,9.1152,6.7214,14.1985,1004
full_l2,2,on,20.2139,13.9433,28.7462,984
full_l2,3,on,19.6680,14.2413,28.2396,964
full_l2,4,on,19.6950,13.4226,27.4070,944
full_l2,5,on,18.8850,13.5948,27.1447,924
full_l2,6,on,19.4171,13.8609,27.4872,904
full_l2,7,on,16.6060,12.0571,23.7913,884
full_l2,8,on,15.8761,11.5174,22.2494,864
