metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,4.4391,3.1708,5.6840,1000
remote_ee,2,off,6.3801,3.8576,8.8854,980
remote_ee,3,off,9.0435,5.8312,12.3406,960
remote_ee,4,off,11.1977,6.1450,15.7798,940
remote_ee,5,off,13.4250,7.3538,19.3856,920
remote_ee,6,off,15.2646,7.5711,22.7836,900
remote_ee,7,off,16.9912,8.3305,26.0059,880
remote_ee,8,off,18.4732,8.9868,28.6329,860
remote_ee,9,off,19.8861,9.6404,31.3748,840
remote_ee,10,off,21.2142,9.9558,34.2798,820
remote_ee,11,off,22.4965,10.8884,36.3503,800
remote_ee,12,off,23.6751,10.9273,39.0939,780
remote_ee,13,off,24.7868,11.4758,41.3778,760
remote_ee,14,off,25.8227,11.5466,43.4178,740
remote_ee,15,off,26.7696,12.4661,45.0527,720
remote_ee,16,off,27.6489,12.3974,46.4001,700
remote_ee,17,off,28.3876,13.0451,46.9850,680
remote_ee,18,off,28.9202,13.3362,48.6775,660
remote_ee,19,off,29.3359,13.7741,49.1247,640
remote_ee,20,off,29.5733,14.0079,49.6819,620
remote_ee,21,off,29.6515,14.5932,50.7861,600
remote_ee,22,off,29.6173,14.5876,50.9832,580
remote_ee,23,off,29.3410,15.3642,50.7059,560
remote_ee,24,off,28.9395,15.6647,50.1648,540
remote_ee,1,on,4.5024,3.2700,5.7995,1000
remote_ee,2,on,17.7237,5.5448,59.4591,980
remote_ee,3,on,5.8695,4.0700,8.3242,960
remote_ee,4,on,5.5044,3.9630,7.4147,940
remote_ee,5,on,5.0576,3.8105,6.5912,920
remote_ee,6,on,5.2864,3.9257,6.8784,900
remote_ee,7,on,4.9337,3.7525,6.1909,880
remote_ee,8,on,5.1688,3.7848,6.4802,860
remote_ee,9,on,4.7965,3.6613,6.0421,840
remote_ee,10,on,5.0484,3.8415,6.3145,820
remote_ee,11,on,4.8094,3.7092,6.0536,800
