experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,500500,500,0,90,-184.02845060825348,-162.26711905002594,2.0447605623139276,2.176133155822754,1.9621593952178955,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,500500,500,1,90,-189.3521749973297,-167.3705017566681,2.1039130555258856,2.198167324066162,2.049445390701294,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,0,90,-211.5470552444458,-186.551616191864,2.350522836049398,2.4995439052581787,2.2586920261383057,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,1,90,-194.7335889339447,-172.03135991096497,2.1637065437104965,2.2702229022979736,2.087207078933716,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,500500,500,0,90,-185.12241005897522,-163.79030108451843,2.056915667321947,2.1332108974456787,1.9862195253372192,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,500500,500,1,90,-189.3684229850769,-168.04140901565552,2.1040935887230767,2.1327013969421387,2.084362506866455,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,0,90,-208.75189018249512,-185.1229591369629,2.319465446472168,2.3628931045532227,2.271078586578369,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,1,90,-189.4238395690918,-168.5570616722107,2.1047093285454643,2.0866777896881104,2.0866777896881104,0.0
