metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
track,8,off,182.9368,140.2408,199.2003,87
track,9,off,183.5703,138.3152,199.2594,85
track,10,off,183.4110,137.9646,199.2695,83
track,11,off,184.0669,137.6139,199.2796,81
track,12,off,183.8048,134.5155,199.2695,79
track,13,off,184.5794,131.4171,199.2796,77
track,14,off,184.5794,134.5155,199.2695,75
track,15,off,185.6194,137.6139,199.2796,73
track,16,off,185.6194,140.5798,199.2105,71
track,17,off,186.6007,143.5457,199.1413,69
track,18,off,186.6007,146.6195,199.1194,67
track,19,off,187.5271,149.6933,199.1413,65
track,20,off,187.5656,152.4410,199.4079,63
track,21,off,188.3967,155.1886,199.1413,61
track,22,off,188.3967,157.2002,199.1194,59
track,23,off,189.2003,159.2117,199.1413,57
track,24,off,189.2003,160.4813,199.1194,55
track,1,on,3.8008,1.5377,7.7642,101
track,2,on,6.6015,1.6560,14.3990,99
track,3,on,9.7538,2.1765,20.6288,97
track,4,on,12.9860,1.9296,27.8818,95
track,5,on,16.6131,2.3326,39.6563,93
track,6,on,20.2962,3.3714,49.7279,91
track,7,on,24.8883,3.5394,61.5080,89
track,8,on,29.9686,4.0386,74.6265,87
track,9,on,35.8313,4.3425,84.9149,85
track,10,on,42.3760,5.1645,89.0812,83
track,11,on,49.3329,6.1827,114.9806,81
track,12,on,57.5276,10.3715,126.7805,79
track,13,on,65.8443,13.7259,143.0685,77
track,14,on,75.9303,22.9886,151.4488,75
track,15,on,85.6890,25.5413,157.5759,73
track,16,on,96.4100,43.5062,166.2987,71
track,17,on,106.8622,53.9358,176.8800,69
track,18,on,118.5013,60.0102,178.4180,67
track,19,on,129.1122,69.9180,176.8096,65
track,20,on,137.6557,81.8047,183.0466,63
track,21,on,150.4234,95.0052,193.9977,61
track,22,on,157.9463,108.6753,194.4922,59
track,23,on,168.2661,112.0525,196.9267,57
track,24,on,179.8557,142.5214,198.4284,55
full_l2,1,off,396.2096,388.9694,404.2022,101
full_l2,2,off,400.8197,393.7945,408.1918,99
full_l2,3,off,401.2767,394.4347,408.3961,97
full_l2,4,off,401.5621,394.5941,408.4327,95
full_l2,5,off,401.8587,394.7848,408.4708,93
full_l2,6,off,402.1523,394.9034,408.5275,91
full_l2,7,off,402.4745,395.1716,408.5843,89
full_l2,8,off,402.7655,395.1829,408.7328,87
full_l2,9,off,403.0663,395.1941,408.8815,85
full_l2,10,off,403.2895,395.3826,408.9903,83
full_l2,11,off,403.5053,395.5711,409.0991,81
full_l2,12,off,403.6886,395.6048,409.1651,79
full_l2,13,off,403.9415,395.5711,409.2311,77
full_l2,14,off,404.0867,395.3826,409.2619,75
full_l2,15,off,404.3880,395.5711,409.2927,73
full_l2,16,off,404.5287,395.9047,409.3264,71
full_l2,17,off,404.7700,395.5711,409.3600,69
full_l2,18,off,404.7885,395.3713,409.3718,67
full_l2,19,off,405.0164,395.1716,409.3836,65
full_l2,20,off,405.0146,395.0937,409.4955,63
full_l2,21,off,405.1718,395.0159,409.6075,61
full_l2,22,off,405.1283,394.9034,409.6696,59
full_l2,23,off,405.3727,394.7908,409.9556,57
full_l2,24,off,405.5151,394.7720,410.1470,55
full_l2,1,on,10.7523,7.4274,19.9942,101
full_l2,2,on,15.0312,10.9066,23.4912,99
full_l2,3,on,20.9155,13.8210,54.2328,97
full_l2,4,on,27.9727,16.3330,77.3667,95
full_l2,5,on,34.9964,18.0965,106.8663,93
full_l2,6,on,49.7979,21.3292,207.0494,91
full_l2,7,on,63.5184,26.0964,219.8476,89
full_l2,8,on,79.6083,28.1475,236.2707,87
full_l2,9,on,95.3696,30.6559,267.9259,85
full_l2,10,on,114.7623,31.6897,284.5582,83
