metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,6.9716,5.1988,9.2298,401
remote_ee,2,off,10.1764,7.3897,12.9505,393
remote_ee,3,off,12.4867,9.0117,15.8859,385
remote_ee,4,off,14.2087,9.9437,18.2516,377
remote_ee,5,off,15.8161,11.2039,20.3884,369
remote_ee,6,off,17.1697,12.2852,22.1617,361
remote_ee,7,off,18.4665,12.6883,23.8887,353
remote_ee,8,off,19.6487,13.2545,25.4397,345
remote_ee,9,off,20.8010,13.5018,26.8759,337
remote_ee,10,off,21.8388,13.7510,28.5952,329
remote_ee,11,off,22.7119,13.3986,30.5627,321
remote_ee,12,off,23.5190,13.3050,31.7803,313
remote_ee,13,off,24.1556,13.6661,33.4821,305
remote_ee,14,off,24.6592,13.7192,35.0205,297
remote_ee,15,off,25.0392,13.6457,36.3546,289
remote_ee,16,off,25.2271,13.3500,37.5765,281
remote_ee,17,off,25.3181,13.8863,38.4513,273
remote_ee,18,off,25.3107,13.7837,39.1042,265
remote_ee,19,off,25.1652,14.1016,39.3290,257
remote_ee,20,off,24.8391,13.5078,38.9124,249
remote_ee,21,off,24.5856,13.8783,38.0580,241
remote_ee,22,off,24.1528,14.2583,37.3543,233
remote_ee,23,off,23.7353,13.9870,35.9434,225
remote_ee,24,off,23.3727,14.0593,34.9509,217
remote_ee,1,on,7.2191,5.2633,9.9467,401
remote_ee,2,on,11.1774,6.9713,18.3700,393
remote_ee,3,on,6.0008,4.3947,7.9198,385
remote_ee,4,on,6.4653,4.8977,8.7715,377
remote_ee,5,on,6.0725,4.2576,8.1254,369
remote_ee,6,on,5.9206,4.0352,8.1147,361
remote_ee,7,on,5.6212,3.9745,7.4962,353
remote_ee,8,on,5.7027,3.8182,7.3796,345
remote_ee,9,on,4.9913,3.5495,6.5308,337
remote_ee,10,on,5.5168,3.7896,7.3971,329
remote_ee,11,on,5.4420,3.9616,7.1126,321
remote_ee,12,on,5.6051,4.1007,7.2174,313
remote_ee,13,on,5.3285,3.8667,7.0015,305
remote_ee,14,on,5.3777,4.0798,6.9628,297
remote_ee,15,on,4.9986,3.6321,6.6377,289
remote_ee,16,on,5.2758,3.9554,6.9083,281
remote_ee,17,on,4.8647,3.7627,6.3170,273
remote_ee,18,on,5.1086,3.7753,6.6509,265
remote_ee,19,on,5.0218,3.5818,6.8399,257
remote_ee,20,on,5.1673,3.7766,6.7523,249
remote_ee,21,on,5.0768,3.7361,6.5734,241
remote_ee,22,on,5.2138,3.8074,6.8620,233
remote_ee,23,on,5.0824,3.8325,6.6091,225
remote_ee,24,on,5.3292,4.0510,6.8613,217
operator_ee,1,off,10.1265,7.5244,12.9729,401
operator_ee,2,off,12.3890,9.0348,15.4672,393
operator_ee,3,off,13.0807,9.2294,16.1750,385
operator_ee,4,off,13.3419,9.1617,16.6485,377
operator_ee,5,off,13.4674,8.9589,17.0437,369
operator_ee,6,off,13.4730,8.7043,17.3403,361
operator_ee,7,off,13.3853,8.4381,17.3771,353
operator_ee,8,off,13.3427,8.3661,17.1931,345
operator_ee,9,off,13.3425,8.4329,17.0808,337
operator_ee,10,off,13.3318,8.3772,17.0495,329
operator_ee,11,off,13.3351,8.4725,17.0865,321
operator_ee,12,off,13.3454,8.5378,17.0840,313
operator_ee,13,off,13.4056,8.5088,17.0952,305
operator_ee,14,off,13.5392,8.5457,17.3404,297
operator_ee,15,off,13.7154,8.5618,17.3858,289
operator_ee,16,off,13.9062,8.7245,17.5995,281
operator_ee,17,off,14.0327,8.7923,17.8741,273
operator_ee,18,off,14.1580,8.9715,18.0476,265
operator_ee,19,off,14.2770,9.1030,18.1715,257
operator_ee,20,off,14.4145,9.4544,18.2606,249
operator_ee,21,off,14.5327,9.7230,18.2829,241
operator_ee,22,off,14.6410,9.9892,18.2904,233
operator_ee,23,off,14.7771,10.4300,18.4252,225
operator_ee,24,off,14.9461,10.5605,18.7217,217
operator_ee,1,on,10.3590,7.6217,13.0625,401
operator_ee,2,on,15.9038,8.7276,34.0442,393
operator_ee,3,on,7.4858,5.3675,10.3278,385
operator_ee,4,on,8.3718,5.7375,11.4847,377
operator_ee,5,on,7.6610,5.1484,10.6532,369
operator_ee,6,on,6.8682,4.7425,9.5527,361
operator_ee,7,on,6.4138,4.6381,8.3694,353
operator_ee,8,on,5.8894,4.1635,7.9721,345
operator_ee,9,on,5.4794,3.9523,7.2261,337
operator_ee,10,on,5.8478,4.3577,7.5436,329
operator_ee,11,on,5.4599,3.7858,7.2618,321
operator_ee,12,on,5.1905,3.6713,7.2954,313
operator_ee,13,on,5.0110,3.4982,6.6373,305
operator_ee,14,on,5.1256,3.4425,7.0233,297
operator_ee,15,on,4.8076,3.1016,6.9911,289
operator_ee,16,on,4.5595,3.1562,6.3979,281
operator_ee,17,on,4.2134,2.6079,5.7037,273
operator_ee,18,on,4.3034,2.5729,6.2803,265
operator_ee,19,on,4.5543,2.9485,6.4817,257
operator_ee,20,on,4.6438,3.0586,6.7922,249
operator_ee,21,on,4.5978,3.0085,6.7199,241
operator_ee,22,on,4.3168,2.7810,6.3825,233
operator_ee,23,on,4.2532,2.8658,6.0955,225
operator_ee,24,on,4.2511,2.8021,6.0783,217
track,1,off,5.8270,3.0270,9.6591,401
track,2,off,7.0611,3.5928,11.9245,393
track,3,off,7.3895,3.8200,12.9251,385
track,4,off,7.7669,3.6161,14.2410,377
track,5,off,8.1412,3.5642,14.6651,369
track,6,off,8.6950,3.7856,16.1863,361
track,7,off,9.2563,3.8254,17.8616,353
track,8,off,9.9114,3.8427,19.4646,345
track,9,off,10.4940,3.8583,21.0614,337
track,10,off,11.1014,3.7167,22.5710,329
track,11,off,11.6254,3.6022,23.8967,321
track,12,off,12.2077,3.6741,25.5869,313
track,13,off,12.7244,3.7430,26.9000,305
track,14,off,13.2140,3.9000,28.4037,297
track,15,off,13.5550,4.2084,29.5989,289
track,16,off,13.8957,4.3913,31.1412,281
track,17,off,14.0330,4.3851,32.2197,273
track,18,off,14.1067,4.4543,32.4831,265
track,19,off,14.0227,4.3021,32.2710,257
track,20,off,13.9224,4.4773,32.8461,249
track,21,off,13.7222,4.3933,33.2438,241
track,22,off,13.4807,4.6695,33.5593,233
track,23,off,13.0976,4.5491,33.1601,225
