metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,9.1330,7.3826,10.8959,405
remote_ee,2,off,13.6521,11.2856,15.8935,397
remote_ee,3,off,16.7573,12.5693,19.6725,389
remote_ee,4,off,18.7029,13.4461,22.2337,381
remote_ee,5,off,20.4406,14.6400,24.2471,373
remote_ee,6,off,21.5699,15.0654,25.4013,365
remote_ee,7,off,22.6103,16.0968,26.7059,357
remote_ee,8,off,23.3056,15.6308,28.1498,349
remote_ee,9,off,23.9720,16.7054,29.1555,341
remote_ee,10,off,24.3701,16.4758,30.2911,333
remote_ee,11,off,24.8378,17.1719,31.5163,325
remote_ee,12,off,25.1319,16.1300,32.4343,317
remote_ee,13,off,25.4857,17.0522,33.3864,309
remote_ee,14,off,25.7057,16.4319,34.4100,301
remote_ee,15,off,26.0018,17.5025,36.3559,293
remote_ee,16,off,26.1628,16.4114,35.8369,285
remote_ee,17,off,26.4369,17.6987,36.7674,277
remote_ee,18,off,26.6127,16.3312,36.3226,269
remote_ee,19,off,26.9296,17.9691,36.8739,261
remote_ee,20,off,27.1079,16.6149,37.0563,253
remote_ee,21,off,27.3537,18.3195,37.4645,245
remote_ee,22,off,27.3973,16.9158,37.4070,237
remote_ee,23,off,27.4891,18.7163,37.1520,229
remote_ee,24,off,27.5002,18.8934,37.1067,221
remote_ee,1,on,4.4820,3.3032,5.7793,405
remote_ee,2,on,7.1031,4.8923,9.8721,397
remote_ee,3,on,9.8200,6.7248,12.9817,389
remote_ee,4,on,11.8267,7.9121,16.2831,381
remote_ee,5,on,13.7570,9.2407,18.7609,373
remote_ee,6,on,15.4556,9.9934,21.0401,365
remote_ee,7,on,17.1714,11.2287,23.9798,357
remote_ee,8,on,18.5528,11.9630,26.1736,349
remote_ee,9,on,19.8673,12.3710,28.3285,341
remote_ee,10,on,20.9143,12.8101,30.1153,333
remote_ee,11,on,21.8098,13.8360,32.1117,325
remote_ee,12,on,22.4082,13.7347,34.2045,317
remote_ee,13,on,22.9639,14.0521,36.0165,309
remote_ee,14,on,23.3922,14.7659,36.8505,301
remote_ee,15,on,23.7741,14.9199,37.6921,293
remote_ee,16,on,23.9952,14.9787,38.1210,285
remote_ee,17,on,24.1591,14.8461,39.3325,277
remote_ee,18,on,24.3031,14.8445,40.2928,269
remote_ee,19,on,24.6036,15.1370,39.5001,261
remote_ee,20,on,24.6900,15.5900,39.0269,253
remote_ee,21,on,24.4815,15.5240,38.2272,245
remote_ee,22,on,24.2178,14.7612,36.9352,237
remote_ee,23,on,24.0278,14.5933,35.5622,229
remote_ee,24,on,23.7416,13.8781,34.3226,221
operator_ee,1,off,10.0711,7.3868,12.4118,405
operator_ee,2,off,12.8260,8.9311,15.9796,397
operator_ee,3,off,14.1382,9.4910,17.5022,389
operator_ee,4,off,14.7751,9.8037,17.5755,381
operator_ee,5,off,14.9493,9.4310,17.9797,373
operator_ee,6,off,15.0285,9.3170,18.7583,365
operator_ee,7,off,15.0818,9.1200,19.1730,357
operator_ee,8,off,15.0860,9.1088,19.2090,349
operator_ee,9,off,15.1334,9.5415,19.3344,341
operator_ee,10,off,15.1729,9.4742,19.5762,333
operator_ee,11,off,15.2021,9.0980,19.7222,325
operator_ee,12,off,15.2218,9.1215,19.9828,317
operator_ee,13,off,15.2285,9.0863,20.1645,309
operator_ee,14,off,15.2477,9.0893,20.3313,301
operator_ee,15,off,15.2899,9.0851,20.4714,293
operator_ee,16,off,15.3450,8.9515,20.4927,285
operator_ee,17,off,15.4086,9.0174,20.7403,277
operator_ee,18,off,15.4373,8.8616,20.7945,269
operator_ee,19,off,15.4583,8.8649,20.9243,261
operator_ee,20,off,15.5165,8.8321,20.9423,253
operator_ee,21,off,15.5701,8.7783,21.0302,245
operator_ee,22,off,15.6232,8.6528,21.0815,237
operator_ee,23,off,15.6557,8.6167,21.1469,229
operator_ee,24,off,15.7009,8.6571,21.1760,221
operator_ee,1,on,3.2711,1.3110,5.0732,405
operator_ee,2,on,5.4327,2.6086,8.4924,397
operator_ee,3,on,6.9223,3.7389,10.1037,389
operator_ee,4,on,7.9092,4.1434,11.7974,381
operator_ee,5,on,8.7485,4.8564,13.3205,373
operator_ee,6,on,9.7881,5.4110,14.8000,365
operator_ee,7,on,10.7855,6.2816,15.7657,357
operator_ee,8,on,11.4761,6.8364,16.4391,349
operator_ee,9,on,12.0240,7.3394,17.3875,341
operator_ee,10,on,12.5757,7.7156,18.3192,333
operator_ee,11,on,13.2601,7.9951,19.0401,325
operator_ee,12,on,13.9213,8.3861,19.2322,317
operator_ee,13,on,14.3942,8.2309,19.2210,309
operator_ee,14,on,14.6732,8.9936,20.3777,301
operator_ee,15,on,14.9161,8.9328,21.1061,293
operator_ee,16,on,15.0826,9.6919,20.7242,285
operator_ee,17,on,15.2633,10.0397,21.7802,277
operator_ee,18,on,15.2027,9.5922,21.2670,269
operator_ee,19,on,15.3171,9.4281,21.3042,261
operator_ee,20,on,15.3435,9.7497,20.6160,253
operator_ee,21,on,15.6540,10.0925,20.8978,245
operator_ee,22,on,15.5918,10.0729,20.3874,237
operator_ee,23,on,15.6751,9.5627,20.5765,229
operator_ee,24,on,15.7624,9.4568,19.9440,221
track,1,off,5.1138,1.7885,11.3141,405
track,2,off,6.0649,2.2985,12.9667,397
track,3,off,6.5570,3.4462,13.8760,389
track,4,off,6.9992,3.9632,14.3999,381
track,5,off,7.4399,4.4183,14.5039,373
track,6,off,7.7977,5.1045,13.8473,365
track,7,off,8.2050,5.4667,13.9579,357
track,8,off,8.6084,5.7737,14.4641,349
track,9,off,8.9544,6.0284,15.4368,341
track,10,off,9.2863,6.3229,17.5586,333
track,11,off,9.5734,6.5420,19.2581,325
track,12,off,9.8457,6.5240,20.6371,317
track,13,off,10.0656,6.5353,23.0059,309
track,14,off,10.2838,6.3933,23.8266,301
track,15,off,10.4766,6.3710,25.2239,293
track,16,off,10.5943,6.4496,25.7282,285
track,17,off,10.7145,6.2089,26.5853,277
track,18,off,10.7878,6.2650,26.9277,269
track,19,off,10.8565,6.2154,27.0177,261
track,20,off,10.8688,6.2201,27.0276,253
track,21,off,10.8280,6.2439,27.7617,245
track,22,off,10.7679,6.2562,28.7284,237
track,23,off,10.6413,6.2036,27.8644,229
track,24,off,10.5246,6.1948,25.1946,221
track,1,on,2.4339,0.9330,4.4615,405
track,2,on,4.0605,1.3105,7.8114,397
track,3,on,5.6552,1.9079,10.6094,389
track,4,on,6.8260,2.3809,11.9983,381
track,5,on,8.0133,2.8671,13.9447,373
track,6,on,9.0311,3.3448,15.7751,365
track,7,on,10.0556,3.4821,18.1396,357
track,8,on,10.8819,4.4540,19.8708,349
track,9,on,11.8035,4.6883,22.4257,341
track,10,on,12.5513,4.8978,24.8394,333
track,11,on,13.2676,4.6942,25.0757,325
track,12,on,13.8822,5.0814,26.8666,317
track,13,on,14.3247,5.9748,27.3953,309
track,14,on,14.7654,5.7969,28.0773,301
track,15,on,14.8026,6.1908,27.5773,293
track,16,on,14.9048,6.3983,28.0166,285
track,17,on,14.8459,6.3818,28.7979,277
track,18,on,15.0523,6.7406,27.8922,269
track,19,on,15.0011,6.9326,27.9011,261
track,20,on,14.6671,6.9994,26.5248,253
track,21,on,14.0013,7.0789,24.9918,245
track,22,on,12.5327,5.7589,24.2180,237
track,23,on,11.0203,4.8054,23.3789,229
track,24,on,9.7939,4.7424,23.8430,221
full_l2,1,off,17.3161,14.1728,22.2558,405
full_l2,2,off,24.5665,20.5784,31.3923,397
full_l2,3,off,29.9628,24.6844,37.9458,389
full_l2,4,off,34.2566,28.1446,43.4696,381
full_l2,5,off,38.2507,30.9822,49.8527,373
full_l2,6,off,42.1736,34.1907,55.5285,365
full_l2,7,off,46.0496,36.8340,60.7994,357
full_l2,8,off,49.7812,39.4735,66.2946,349
full_l2,9,off,53.5724,42.3353,72.2411,341
full_l2,10,off,57.1616,45.4867,76.9977,333
full_l2,11,off,60.7108,47.9764,78.5700,325
full_l2,12,off,64.1378,51.2888,83.4082,317
full_l2,13,off,67.6266,53.2149,88.6899,309
full_l2,14,off,70.9504,55.7063,94.0376,301
