env_id,experiment,comparison,series,variant,variant_label,train_delay,train_delay_name,eval_delay,eval_delay_name,x_value,x_label,act_buffer_len,obs_buffer_len,seed,model_path,wandb_run_id,wandb_run_name,wandb_url,wandb_group,episode_steps,episode_return,episode_mean_reward,episode_mean_distance,episode,wandb_row_source
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-0.7069995420606574,-0.014139990841213148,0.014139990841213148,10,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-0.7722068656003103,-0.015444137312006206,0.015444137312006206,11,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-0.7416063430719078,-0.014832126861438154,0.014832126861438154,12,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-1.1997003565411433,-0.023994007130822864,0.023994007130822864,13,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-3.59371219901368,-0.0718742439802736,0.0718742439802736,14,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-3.616562731564045,-0.0723312546312809,0.0723312546312809,15,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-1.9404289787635207,-0.03880857957527042,0.03880857957527042,16,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-1.6941932761110365,-0.03388386552222073,0.03388386552222073,17,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-2.0989091359078884,-0.041978182718157765,0.041978182718157765,18,history
FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,Unseen delay,unseen,Unseen delay,"(0,0)",constant_a0_o0,"(0,0)",constant_a0_o0,0.0,Action,1,1,0,fetch_delay_runs/models/FetchPush-RemotePDNorm-v0/unseen__constant_a0_o0__actbuf1__obsbuf1/seed_0/model.zip,fetch-delay-eval-a7739d81d8a3ace0,"FetchPush-RemotePDNorm-v0 delay 80000 steps | FetchPush seed0 unseen action_vs_observation/action_delay_only train=(0,0) eval=(0,0)",https://wandb.ai/cavlab/fetch-delay/runs/fetch-delay-eval-a7739d81d8a3ace0,FetchPush-RemotePDNorm-v0-80000steps-20evaleps-0_1_2_3_4,50.0,-2.037846762686968,-0.04075693525373936,0.04075693525373936,19,history
