metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm
remote_ee,1,absp,4.2690,3.1172,5.5933
remote_ee,2,absp,5.8037,3.6302,8.3951
remote_ee,3,absp,7.8840,4.9228,11.0481
remote_ee,4,absp,8.9764,5.4101,13.6260
remote_ee,5,absp,10.3063,6.3095,15.6225
remote_ee,6,absp,11.2637,6.6539,17.6680
remote_ee,7,absp,12.4586,7.7562,19.6202
remote_ee,8,absp,13.3113,8.2959,21.0039
remote_ee,9,absp,14.3614,9.2576,22.5804
remote_ee,10,absp,15.1607,9.7210,23.5438
remote_ee,11,absp,16.1234,10.4990,25.2253
remote_ee,12,absp,16.8149,11.1146,26.2092
remote_ee,13,absp,17.6127,11.4609,26.8900
remote_ee,14,absp,18.1732,11.9263,27.6015
remote_ee,15,absp,18.8476,12.2585,28.7666
remote_ee,16,absp,19.3740,12.7097,29.6370
remote_ee,17,absp,19.9849,13.0415,30.2501
remote_ee,18,absp,20.4497,13.7605,30.8631
remote_ee,19,absp,20.9170,13.8652,31.3289
remote_ee,20,absp,21.2856,14.7985,32.9537
remote_ee,21,absp,21.6896,14.9520,32.2258
remote_ee,22,absp,22.0270,15.5022,33.0932
remote_ee,23,absp,22.4755,15.3939,32.8090
remote_ee,24,absp,22.7684,16.2960,32.4422
remote_ee,1,sbsp,4.3565,3.1285,5.3827
remote_ee,2,sbsp,5.6463,2.9775,8.4869
remote_ee,3,sbsp,7.6060,4.7287,10.9338
remote_ee,4,sbsp,8.5961,4.5662,13.1690
remote_ee,5,sbsp,9.9738,5.6197,15.4168
remote_ee,6,sbsp,10.9052,5.9147,17.4367
remote_ee,7,sbsp,12.2305,7.5397,19.4676
remote_ee,8,sbsp,13.1665,7.4812,21.5770
remote_ee,9,sbsp,14.3480,8.5536,23.3588
remote_ee,10,sbsp,15.2192,8.8555,24.9824
remote_ee,11,sbsp,16.2564,9.8719,26.6046
remote_ee,12,sbsp,17.0698,10.2107,27.2395
remote_ee,13,sbsp,17.8452,10.7445,29.0042
remote_ee,14,sbsp,18.3118,11.2085,29.7780
remote_ee,15,sbsp,18.9053,11.6909,29.4900
remote_ee,16,sbsp,19.3330,11.9772,30.2404
remote_ee,17,sbsp,19.8679,12.4004,31.3105
remote_ee,18,sbsp,20.2120,12.5428,32.8257
remote_ee,19,sbsp,20.4792,12.9952,32.3576
remote_ee,20,sbsp,20.6016,13.3918,32.5582
remote_ee,21,sbsp,20.6914,13.6311,32.1626
remote_ee,22,sbsp,20.5160,13.4769,32.0334
remote_ee,23,sbsp,20.3667,13.6898,32.0996
remote_ee,24,sbsp,19.9666,13.2778,31.3507
operator_ee,1,absp,6.0059,4.0347,8.5775
operator_ee,2,absp,8.4794,5.7437,11.7827
operator_ee,3,absp,9.6344,6.2644,13.1287
operator_ee,4,absp,10.2087,6.9544,13.7167
operator_ee,5,absp,10.6390,7.2811,14.3237
operator_ee,6,absp,11.0165,7.4920,15.0916
operator_ee,7,absp,11.3516,7.6939,15.6548
operator_ee,8,absp,11.5891,7.8697,15.8110
operator_ee,9,absp,11.8267,8.1646,16.0672
operator_ee,10,absp,12.0298,8.5138,16.0384
operator_ee,11,absp,12.2338,8.5825,16.5012
operator_ee,12,absp,12.5044,8.9246,16.8489
operator_ee,13,absp,12.7755,9.0724,17.1695
operator_ee,14,absp,12.9957,9.3739,17.3545
