metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm
remote_ee,1,absp,4.2837,3.1550,5.5419
remote_ee,2,absp,5.4309,3.0230,8.7451
remote_ee,3,absp,7.6600,4.7122,11.7131
remote_ee,4,absp,9.0616,4.2905,14.5163
remote_ee,5,absp,10.7920,5.3922,17.3102
remote_ee,6,absp,12.1134,5.6542,19.8707
remote_ee,7,absp,13.4946,6.8369,22.2230
remote_ee,8,absp,14.4118,6.8067,24.2039
remote_ee,9,absp,15.3697,7.9911,26.0250
remote_ee,10,absp,16.1300,8.2071,27.9104
remote_ee,11,absp,16.8598,9.0283,29.1942
remote_ee,12,absp,17.4023,9.1494,30.3920
remote_ee,13,absp,17.8787,9.8065,31.3131
remote_ee,14,absp,18.2848,10.5393,32.1573
remote_ee,15,absp,18.6671,10.7520,32.7393
remote_ee,16,absp,18.9406,11.2015,32.9892
remote_ee,17,absp,19.1093,11.2512,34.0553
remote_ee,18,absp,19.1837,11.5595,34.6408
remote_ee,19,absp,19.2029,11.4918,34.6193
remote_ee,20,absp,19.2041,11.7847,33.5975
remote_ee,21,absp,19.2209,11.4242,33.2999
remote_ee,22,absp,19.3109,11.6107,31.9135
remote_ee,23,absp,19.3242,11.4420,31.7261
remote_ee,24,absp,19.3336,11.8230,30.9264
remote_ee,1,sbsp,4.5238,3.4313,5.4744
remote_ee,2,sbsp,6.1284,3.5154,9.0281
remote_ee,3,sbsp,8.6081,5.4519,12.3376
remote_ee,4,sbsp,10.1402,5.5564,15.6201
remote_ee,5,sbsp,12.2751,7.3075,18.4563
remote_ee,6,sbsp,13.6765,7.5986,20.8635
remote_ee,7,sbsp,15.3569,9.1160,23.2794
remote_ee,8,sbsp,16.4326,9.4171,25.3234
remote_ee,9,sbsp,17.7701,10.4687,26.8448
remote_ee,10,sbsp,18.7001,10.6583,28.6008
remote_ee,11,sbsp,19.7344,11.4663,29.4079
remote_ee,12,sbsp,20.3254,11.7656,31.2364
remote_ee,13,sbsp,20.9332,13.1637,32.1812
remote_ee,14,sbsp,21.3162,13.0635,33.3612
remote_ee,15,sbsp,21.6548,13.7656,34.0896
remote_ee,16,sbsp,21.8767,13.5151,34.2755
remote_ee,17,sbsp,22.0719,14.0809,33.9943
remote_ee,18,sbsp,22.0474,13.9625,34.2421
remote_ee,19,sbsp,21.9711,13.8796,35.0903
remote_ee,20,sbsp,21.6230,13.5985,34.9815
remote_ee,21,sbsp,21.2505,13.5560,34.0451
remote_ee,22,sbsp,20.7895,12.9494,33.1819
remote_ee,23,sbsp,20.4400,12.5265,32.2634
remote_ee,24,sbsp,19.9492,12.4886,31.5574
operator_ee,1,absp,5.6345,3.9030,7.6211
operator_ee,2,absp,7.9269,5.5394,11.1163
operator_ee,3,absp,9.0574,6.4250,12.8098
operator_ee,4,absp,9.8047,6.8878,13.6922
operator_ee,5,absp,10.3182,7.1934,14.3836
operator_ee,6,absp,10.6830,7.3209,14.7641
operator_ee,7,absp,11.0562,7.4197,15.4091
operator_ee,8,absp,11.3744,7.6825,15.7426
operator_ee,9,absp,11.6277,7.8618,16.3001
operator_ee,10,absp,11.8911,8.0007,16.7235
operator_ee,11,absp,12.1782,8.1666,17.1441
operator_ee,12,absp,12.4115,8.3045,17.5679
operator_ee,13,absp,12.6622,8.5051,17.9858
operator_ee,14,absp,12.9022,8.8728,18.4272
operator_ee,15,absp,13.1602,8.8985,18.6629
operator_ee,16,absp,13.4213,9.1694,18.9372
operator_ee,17,absp,13.6300,9.3949,19.0990
operator_ee,18,absp,13.7903,9.5051,19.3545
operator_ee,19,absp,13.9699,9.7113,19.4423
operator_ee,20,absp,14.1818,9.9343,19.7246
operator_ee,21,absp,14.3590,10.0501,19.7673
operator_ee,22,absp,14.5203,10.2056,19.8251
operator_ee,23,absp,14.6758,10.2961,19.9283
operator_ee,24,absp,14.8336,10.4059,20.0470
operator_ee,1,sbsp,3.2656,1.6156,4.7204
operator_ee,2,sbsp,5.0217,2.4103,7.4713
operator_ee,3,sbsp,6.3132,3.0907,9.6384
operator_ee,4,sbsp,7.3673,3.9732,11.2443
operator_ee,5,sbsp,8.3642,4.8057,12.5303
operator_ee,6,sbsp,9.3143,5.4268,13.8172
operator_ee,7,sbsp,10.3073,6.1859,14.4628
operator_ee,8,sbsp,11.1496,6.8550,15.4317
operator_ee,9,sbsp,11.7853,7.1116,16.1991
operator_ee,10,sbsp,12.3105,7.6131,16.8342
operator_ee,11,sbsp,12.8573,8.0171,17.1744
operator_ee,12,sbsp,13.3710,8.6153,17.8265
operator_ee,13,sbsp,13.8649,9.0613,18.1749
operator_ee,14,sbsp,14.2640,9.6715,18.8826
operator_ee,15,sbsp,14.5737,10.0050,19.1423
operator_ee,16,sbsp,14.7805,10.3782,19.3768
operator_ee,17,sbsp,14.9486,10.4616,19.5502
operator_ee,18,sbsp,14.9668,10.2861,19.7359
operator_ee,19,sbsp,14.8543,10.1686,19.9813
operator_ee,20,sbsp,14.7020,10.1600,20.1501
operator_ee,21,sbsp,14.4683,9.9912,20.0329
operator_ee,22,sbsp,14.1654,9.7773,19.9255
operator_ee,23,sbsp,13.8864,9.6142,19.4491
operator_ee,24,sbsp,13.4448,9.4409,18.9315
track,1,absp,4.1518,1.8313,7.7902
track,2,absp,5.9673,2.6184,10.8224
track,3,absp,6.8832,3.0811,12.5118
track,4,absp,7.3645,3.1993,13.4482
track,5,absp,7.6198,3.2801,14.0407
track,6,absp,7.8814,3.0713,15.0076
track,7,absp,8.2086,3.4512,15.8366
track,8,absp,8.7721,3.3311,16.2820
track,9,absp,9.3397,3.6860,17.5328
track,10,absp,9.9308,3.7516,18.5322
track,11,absp,10.4640,4.0957,19.8258
track,12,absp,11.0057,4.0069,21.0946
track,13,absp,11.3733,4.2587,22.9138
track,14,absp,11.7383,4.2517,23.3885
track,15,absp,12.0186,4.2563,24.1150
track,16,absp,12.3308,4.3751,25.0991
track,17,absp,12.5325,4.3174,25.6090
track,18,absp,12.6365,4.2792,26.1246
track,19,absp,12.6874,4.3457,26.4942
track,20,absp,12.6265,4.1689,26.2232
track,21,absp,12.4868,4.2399,26.0725
track,22,absp,12.3425,4.1781,25.8680
track,23,absp,12.1095,4.2298,25.0395
track,24,absp,11.8074,4.2718,25.2481
track,1,sbsp,2.4814,1.0455,4.2014
track,2,sbsp,4.1028,1.5616,7.3538
track,3,sbsp,5.7004,2.3594,10.1422
track,4,sbsp,6.9680,2.7318,12.5592
track,5,sbsp,8.0980,3.4803,14.8880
track,6,sbsp,9.1542,3.8113,17.3924
track,7,sbsp,10.1082,4.4628,18.8994
track,8,sbsp,11.0939,4.9273,20.3817
track,9,sbsp,12.0877,5.2742,22.3598
track,10,sbsp,12.8997,5.4543,24.0461
track,11,sbsp,13.7483,6.0183,24.6419
track,12,sbsp,14.5374,6.4322,25.8376
track,13,sbsp,15.2298,6.3613,26.5755
track,14,sbsp,15.8019,6.8782,27.4841
track,15,sbsp,16.2488,7.2173,27.6029
track,16,sbsp,16.5498,7.6409,28.6402
track,17,sbsp,16.9234,8.0613,29.0948
track,18,sbsp,17.0587,8.0732,30.4029
track,19,sbsp,16.9908,8.1365,29.3173
track,20,sbsp,16.7251,8.1865,28.6497
track,21,sbsp,16.2093,7.8843,27.7820
track,22,sbsp,15.4485,7.0541,27.8478
track,23,sbsp,14.6012,6.3116,25.9564
track,24,sbsp,13.5587,6.3479,24.9803
full_l2,1,absp,9.8023,7.6343,13.4229
full_l2,2,absp,14.2322,10.1623,20.2137
full_l2,3,absp,18.0164,13.1771,25.0429
full_l2,4,absp,21.2304,15.4811,29.5482
full_l2,5,absp,24.6746,17.7325,34.5575
full_l2,6,absp,27.8806,19.5025,38.8479
full_l2,7,absp,31.0956,21.6212,43.1138
full_l2,8,absp,33.9773,23.5868,47.3466
full_l2,9,absp,37.0126,25.2971,51.6382
full_l2,10,absp,39.9154,27.2930,55.8699
full_l2,11,absp,42.9700,29.6213,60.5567
full_l2,12,absp,45.9014,31.2398,65.3730
full_l2,13,absp,48.7283,32.8905,70.7095
full_l2,14,absp,51.4148,34.8534,75.5322
full_l2,15,absp,54.0541,36.6431,80.4035
full_l2,16,absp,56.6616,38.3928,85.3243
full_l2,17,absp,59.2034,40.3121,90.3682
full_l2,18,absp,61.5822,41.9779,94.2581
full_l2,19,absp,64.0298,43.6751,98.3998
full_l2,20,absp,66.3095,45.1838,101.9258
full_l2,21,absp,68.5637,46.3951,106.4505
full_l2,22,absp,70.3285,48.4023,109.8025
full_l2,23,absp,72.2202,49.6330,112.4631
full_l2,24,absp,74.0020,51.2855,113.8984
full_l2,1,sbsp,9.2380,7.0691,12.1642
full_l2,2,sbsp,12.9548,9.7861,16.2166
full_l2,3,sbsp,17.4086,13.1167,21.4487
full_l2,4,sbsp,20.7239,15.0924,26.0949
full_l2,5,sbsp,24.4599,17.8627,31.7244
full_l2,6,sbsp,27.3143,19.7879,36.6339
full_l2,7,sbsp,30.3844,22.1032,41.2989
full_l2,8,sbsp,32.7944,24.0149,45.7642
full_l2,9,sbsp,35.4282,25.8764,49.5219
full_l2,10,sbsp,37.6359,27.1350,53.8806
full_l2,11,sbsp,40.1379,29.0219,58.5127
full_l2,12,sbsp,42.0969,30.7778,62.1385
full_l2,13,sbsp,44.2568,31.8812,66.0274
full_l2,14,sbsp,46.1463,33.1575,70.0206
full_l2,15,sbsp,48.0969,34.3269,73.2631
full_l2,16,sbsp,50.1489,35.2835,77.5686
full_l2,17,sbsp,52.0025,36.4921,80.5862
full_l2,18,sbsp,53.7479,36.9594,83.8422
full_l2,19,sbsp,55.3217,37.9428,86.9388
full_l2,20,sbsp,56.5750,38.9358,88.3156
full_l2,21,sbsp,57.7351,39.4954,90.5863
full_l2,22,sbsp,58.3156,39.4531,92.9163
full_l2,23,sbsp,58.7700,39.2168,96.2638
full_l2,24,sbsp,58.8909,39.3057,100.5810
